ver,曲名,BPM,notes,属性,詳細攻略
16,SOLITON BEAM(A),152,1187,縦連,SP八段(SPADA)

6,SOMETHING WONDERFUL(A),150,1003,CN,Mystery Line(復活曲・新規譜面)

15,SOUND OF GIALLARHORN(H),184,1405,乱打,

22,Sounds of Summer(H),175,1080,,

17,Sorrows(A),185,1241,同時押し、ラス殺し,

18,Space Time(A),143,1114,乱打、トリル,

25,SPEED DEMON(A),190,1198,BSS,

26,SPEED ROCKER(A),145,1175,,

26,Starry Night(A),155,1268,,

11,Sphere(A),160,1111,階段、同時押し、トリル、HARD地雷、総合力,

25,STARLIGHT JUNCTION(A),,,,激走!キャノンレーサー

19,Star Trail(A),148,942,,

25,Static State(A),,,,

15,STEEL NEEDLE(H),205,1121,乱打、トリル、皿、難核地雷,

7,stoic(H),155,1250,乱打、縦連打、中盤発狂,

23,StrayedCatz(H),303,1052,高速階段,EXPERT MODE

20,STULTI(H),90-182,867,,私立BEMANI学園

28,Sugarplum(A),170,1265,,召しませ！BISTROVER Northern Landエリア

23,Super Duper Racers(A),170,1199,,おてがる!! LINK TRACK

24,Surf on the Light(A),60-160,,,ノスタルジアƒORTE バージョンアップ記念 楽曲交換イベント

24,Sweet Clapper(A),162,959,,

4,SWEET LAB(A),120,692,,攻城シノバズ伝(復活曲・譜面変更）

22,Sweet Radar(A),150,1020,,

9,Sweet Sweet ♥ Magic(A),180,1032,階段,

8,symbolic(A),155,1138,乱打、同時押し、縦連打,

22,Symmetry(H),163,1082,,

5,sync(A),167,1204,乱打、トリル、終盤殺し、高難度,

20,SYNC-ANTHEM(H),160-166,1279,乱打,LEGEND CROSS BOSS

6,Take It easy(H),205,1229,同時押し、縦連打、ズレ押し、トリル,

27,take me higher(A)　,140,1015,,いちかのBEMANI超じゃんけん大会2020

22,TA・DA☆YO・SHI(A),160,1180,BSS,

26,Technicolour Dreams(A),170,1202,CN,Rootageサントラ発売記念

16,THANK YOU FOR PLAYING(A),45-170,1090,中盤発狂、ソフラン,

